company,companyid,positionname,salary,require
智慧星光,40625,python工程师,10k-15k,"

经验1-3年 / 本科
                                "
狸米科技,100556,python,20k-30k,"

经验3-5年 / 本科
                                "
中国电信云计算公司,45131,python开发工程师（资深）,25k-50k,"

经验5-10年 / 硕士
                                "
掌昆游戏,292539,python,12k-20k,"

经验1-3年 / 本科
                                "
北京震元科技有限公司,370841,python,15k-30k,"

经验1-3年 / 本科
                                "
CloudIn,145586,python工程师,16k-30k,"

经验1-3年 / 本科
                                "
易博天下,73354,资深Python开发工程师,20k-28k,"

经验5-10年 / 大专
                                "
AfterShip,286431,Python 后台开发经理,30k-50k,"

经验5-10年 / 本科
                                "
江苏激扬,337317,python开发工程师,6k-8k,"

经验1-3年 / 本科
                                "
益序医疗,486214,Python高级开发工程师,8k-15k,"

经验1-3年 / 本科
                                "
摩登大自然,291685,服务端工程师node/python/java/php,15k-30k,"

经验1-3年 / 本科
                                "
淘淘金,283334,高级python工程师（爬虫平台开发）,18k-22k,"

经验3-5年 / 本科
                                "
瞬联软件科技（北京）有限公司,14093,19届校招（应届生）python开发,8k-15k,"

经验应届毕业生 / 本科
                                "
知乎,4128,Python平台开发New,25k-40k,"

经验3-5年 / 本科
                                "
上海欧普泰科技创业股份有限公司,523783,Python后端研发工程师,10k-15k,"

经验1-3年 / 不限
                                "
CloudIn,145586,Python研发工程师,20k-40k,"

经验5-10年 / 本科
                                "
虎赞科技,167781,python后端,10k-20k,"

经验3-5年 / 大专
                                "
成都启点科技,163881,python实习,2k-3k,"

经验不限 / 大专
                                "
艾耕科技,162148,Python开发工程师,10k-20k,"

经验1-3年 / 本科
                                "
贝壳,55446,Python开发工程师,25k-50k,"

经验3-5年 / 本科
                                "
平安科技,24748,11215N-Python开发工程师,15k-30k,"

经验3-5年 / 本科
                                "
作业帮,113856,python开发工程师(J11765),20k-40k,"

经验1-3年 / 本科
                                "
乐信圣文,115290,Python工程师,10k-20k,"

经验1-3年 / 本科
                                "
汽车之家,8103,python工程师,15k-25k,"

经验3-5年 / 本科
                                "
OPPO,6927,Python工程师（运维平台）,15k-30k,"

经验3-5年 / 本科
                                "
旷视科技,1561,python开发,20k-40k,"

经验1-3年 / 不限
                                "
深信服科技集团,182070,python开发,15k-22k,"

经验1-3年 / 本科
                                "
快手,1880,Python开发工程师,20k-40k,"

经验3-5年 / 本科
                                "
大搜车,18655,Python研发工程师（爬虫方向）,9k-15k,"

经验1-3年 / 本科
                                "
极光,917,Python开发工程师（安全）,15k-20k,"

经验1年以下 / 本科
                                "
